gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200003577177891145e+01,1.200000145781374101e+02,-7.558610304934866519e+00,6.836550217178172240e-02,-1.122603921741574876e-02,-4.727620740129177129e-02
3.199999069563852672e+01,1.199999868852097222e+02,-1.934288725861622149e+00,2.096319117946091048e-01,6.568362342531947583e-03,-1.065138568536036223e-01
3.199998153908673615e+01,1.200000102985729171e+02,-3.002922401473477887e+00,2.845163038367759523e-01,3.010661380916260753e-03,-1.178284781653444191e-01
3.200001310868339033e+01,1.200000160501449642e+02,1.528056387705857722e+00,4.717728857715669522e-01,2.139472123749903976e-02,-1.396559239596984435e-02
3.200000672351799835e+01,1.199999967533333347e+02,-6.156482433305614066e+00,5.479459134162232292e-01,3.104445286445690205e-02,-2.803948588464566169e-02
3.200001295653667199e+01,1.199999949927905902e+02,4.841969488454192394e+00,5.039813606465695095e-01,-1.448359473920461486e-02,-4.639021361301497171e-02
3.200000550016174117e+01,1.200000165849096021e+02,-2.618911873572595805e+00,6.283910453983742039e-01,1.639786558108656880e-02,-9.166406681781953669e-02
3.199989669078956567e+01,1.200000390279757170e+02,-5.343072080649855948e+00,7.837398245328206503e-01,-7.801879421336181675e-02,-1.614964714526572753e-01
3.200001397505707956e+01,1.199999705773485630e+02,5.185129435161689671e+00,8.123199868901977982e-01,-9.317018241053676153e-02,-1.475587084214909639e-01
3.200005363230338418e+01,1.200001208760855462e+02,-4.159000173682994905e+00,9.808777541967768077e-01,3.858287412504785019e-02,-2.564480943581720074e-01
3.199998352883102015e+01,1.200000021218685049e+02,7.883960895786814582e+00,1.056545936947959952e+00,3.495931774557187871e-02,-2.495438849848315432e-01
3.200000636277966493e+01,1.200000797435925080e+02,5.513176153932106693e-01,1.126928021393672097e+00,2.440416715716615947e-02,-2.160672568447092046e-01
3.199995560412651585e+01,1.199999350362334525e+02,5.852452101704164633e+00,1.306605827749567128e+00,2.649486427165953506e-02,-4.648820197868947512e-01
3.200000997853797458e+01,1.199999816247136835e+02,-1.055341803756914132e+01,1.271072887936591789e+00,3.435753098937009697e-02,-4.998960689530596024e-01
3.200003474252506663e+01,1.200000233078642395e+02,-8.882349358015954266e+00,1.403762501756387282e+00,-8.302608120451698479e-03,-5.283408042410140393e-01
3.200000412266771832e+01,1.200000156331894772e+02,-1.336899919185106977e+00,1.482717023552223790e+00,-3.467224179826183111e-03,-5.908617677537928436e-01
3.200008968018399003e+01,1.200000443071856893e+02,9.433215262167740534e+00,1.565752330772084866e+00,-2.420455645100159925e-02,-6.621103691313127149e-01
3.200004612487820310e+01,1.200000036463641351e+02,-2.574188754351782293e+00,1.682370945610935031e+00,4.119114190114393781e-02,-7.815358804231555823e-01
3.200002067392946969e+01,1.199999792685248821e+02,4.546845851718857467e+00,1.775225055208194735e+00,-9.049284483048398997e-02,-7.879270605705382957e-01
3.200002862949768456e+01,1.200001144358690510e+02,-9.763463132573212633e+00,1.917356148421823780e+00,3.345376029159903564e-02,-9.636243849498239422e-01
3.200007381139963059e+01,1.199999349420994719e+02,4.206066358923323811e+00,1.846259085336206418e+00,1.212684265072756958e-02,-1.031402730601222562e+00
3.200005602686913875e+01,1.199999714327183824e+02,-1.515346729264801340e+01,1.962631094143717281e+00,1.336248181604244301e-01,-1.108807367376917430e+00
3.200008732178475412e+01,1.199999799802381801e+02,4.116923493522653743e+00,2.120465566813931613e+00,9.811003986678702715e-02,-1.062521704989393134e+00
3.200000586364157584e+01,1.200000436995984074e+02,7.457226340488547933e+00,2.130889297304070507e+00,-8.955374394165083185e-02,-1.124349130229003624e+00
3.200000495217098262e+01,1.199999367632282343e+02,-5.804553525551693127e+00,2.172973968253592680e+00,2.205816592679431948e-02,-1.159161546677369703e+00
3.200000416212727572e+01,1.200000584852560479e+02,3.616327100627234614e+00,2.225168723892332334e+00,-6.278513908706782887e-02,-1.370766421490762665e+00
3.199999541154389249e+01,1.199999831397705634e+02,2.808832530604298494e+00,2.253160298838973397e+00,-4.634291789205363665e-02,-1.436452175400609876e+00
3.200003237461451278e+01,1.200000614807922688e+02,7.636990495748376961e-01,2.288569042083648419e+00,-5.247231878077961847e-02,-1.491812407590511924e+00
3.200006430798319457e+01,1.200000192442414573e+02,2.377579801141305182e+00,2.425587741477027937e+00,-3.351137609757869062e-02,-1.671738997596736054e+00
3.200003441627180223e+01,1.199999637077655166e+02,1.279939502755119562e+01,2.431345998854477664e+00,1.499689103375440730e-02,-1.712433379607760431e+00
3.200001305646887317e+01,1.199999926064365212e+02,-1.982276277122230201e+00,2.503091562009347903e+00,4.153311536425516315e-02,-1.746278986446232473e+00
3.199995719483818135e+01,1.199999799550216721e+02,-5.078790417006809221e+00,2.649150448529253410e+00,-3.461359448419974033e-02,-1.889200064384859212e+00
