mag_x (uT),mag_y (uT),mag_z (uT)
3.268085373738846755e+01,-3.622413690338533332e+00,3.747514697102645442e+01
3.262766113638421928e+01,-3.562208118727988815e+00,3.772888400357549443e+01
3.264473232846434314e+01,-3.582170745144416024e+00,3.748454367687559596e+01
3.267721740460090274e+01,-3.535985137531563183e+00,3.738107430911134799e+01
3.259828657099475180e+01,-3.565151359180128043e+00,3.743090915406461505e+01
3.246257756821192686e+01,-3.620371779616988750e+00,3.742611898763186673e+01
3.228677480584254056e+01,-3.527408599651680188e+00,3.772388090979193009e+01
3.265262727616615024e+01,-3.457723861037097723e+00,3.750061820659121281e+01
3.266229975892407822e+01,-3.586617332865180696e+00,3.764565715618792296e+01
3.271711553652888682e+01,-3.594863144548464451e+00,3.761237476675051994e+01
3.257115000524788684e+01,-3.483624222318301378e+00,3.751657480156478641e+01
3.251854125103873372e+01,-3.647981746896321820e+00,3.766698785323579557e+01
3.252459714833575788e+01,-3.537300156702725129e+00,3.758322704154386429e+01
3.248429066609044469e+01,-3.503580115091421199e+00,3.764330963552571063e+01
3.257819416468662865e+01,-3.453323541095292715e+00,3.760204749356562814e+01
3.257675756395351385e+01,-3.451800555546137517e+00,3.744661005966187872e+01
3.282155642480586266e+01,-3.644961359212822050e+00,3.763447446764218540e+01
3.251242769334901084e+01,-3.561154520496683240e+00,3.763748127480963745e+01
3.244309086376861728e+01,-3.486496733499366396e+00,3.770130220465136972e+01
3.245701524990440845e+01,-3.457274358970286343e+00,3.754453130000617733e+01
3.246052389096103497e+01,-3.751629137091698762e+00,3.749597212844211924e+01
3.252239307013392988e+01,-3.565686358825501223e+00,3.762492238712208348e+01
3.256095679322055503e+01,-3.636207068268868969e+00,3.759146079400213125e+01
3.257319015432935316e+01,-3.574351235228538037e+00,3.761936184307884901e+01
3.248888541275379538e+01,-3.466367071592921789e+00,3.758368477025955912e+01
3.243149681576901600e+01,-3.556386399847626389e+00,3.766012512384767064e+01
3.253833591496085376e+01,-3.459980309247018049e+00,3.754914590966043164e+01
3.240755954446469644e+01,-3.651933763349461071e+00,3.766550769425096234e+01
3.252498080096260935e+01,-3.492908091978197849e+00,3.754277079189455435e+01
3.265312232521183233e+01,-3.577852735294646092e+00,3.749643173189984680e+01
3.262452111491412410e+01,-3.519366454430779889e+00,3.758173468766081271e+01
3.265639053930048874e+01,-3.548991636723287435e+00,3.762341260578673285e+01
3.267845678923524844e+01,-3.403208892181483591e+00,3.755180256042653042e+01
3.256216462229268416e+01,-3.558238974918659370e+00,3.769448086363534856e+01
3.276925016508157285e+01,-3.481484193818615847e+00,3.743066425327496916e+01
3.247046815815860299e+01,-3.392329200770197950e+00,3.753686143199698932e+01
3.256175009386732455e+01,-3.524097709787753274e+00,3.760590629255008110e+01
3.265924945095117238e+01,-3.373694726662228582e+00,3.752288750542196283e+01
3.252303094665484906e+01,-3.428111641777305429e+00,3.760238428432813862e+01
3.256464139078973830e+01,-3.562889516570610038e+00,3.748555651840060676e+01
3.259973150749944892e+01,-3.575474458841303438e+00,3.752441827811572495e+01
3.257114641950037992e+01,-3.471014456083206579e+00,3.754839408225296893e+01
3.262374836133420786e+01,-3.586513486950582585e+00,3.748609100099584879e+01
3.258836281546360425e+01,-3.730580374445914060e+00,3.762298068224048109e+01
3.266105269528026156e+01,-3.646373794043870298e+00,3.748427624679743531e+01
3.253460857616278901e+01,-3.602630215001334069e+00,3.760053532334530502e+01
3.248246284261540495e+01,-3.569578382805110639e+00,3.742099790691705152e+01
3.258473698524810658e+01,-3.423832312549223378e+00,3.736134158943802674e+01
3.252894149658708045e+01,-3.575488481462072876e+00,3.759798546677961895e+01
3.255811086388178666e+01,-3.558076499374091206e+00,3.754066359929331043e+01
3.275717039336007730e+01,-3.648881017213318589e+00,3.760534576222233483e+01
3.262808649411883977e+01,-3.496826732383853997e+00,3.746015458276641397e+01
3.253287492096661282e+01,-3.631742324211418627e+00,3.760339953131737190e+01
3.250371736517605115e+01,-3.609999390533423558e+00,3.758980948412722256e+01
3.244302520856116701e+01,-3.583627630198347624e+00,3.767647923084266637e+01
3.261489037246874290e+01,-3.562883605187149527e+00,3.762761793378268749e+01
3.259645542611313118e+01,-3.507096247845807202e+00,3.749859437913026028e+01
3.267865386275392581e+01,-3.630871752379164263e+00,3.743113677930540462e+01
3.254636872765713917e+01,-3.582537519447742902e+00,3.745567318562330428e+01
3.252052960458769348e+01,-3.615223563707749665e+00,3.762946930745635399e+01
3.282224129138109703e+01,-3.604546905880785967e+00,3.760132760343716996e+01
3.256195085890387020e+01,-3.461104577705659491e+00,3.761853994618541464e+01
3.245211620258292839e+01,-3.681084281024858296e+00,3.741196141830894817e+01
3.267778082320878497e+01,-3.464602316836221885e+00,3.751256360183898408e+01
3.252876219998933038e+01,-3.403659756898393507e+00,3.761460094938191645e+01
3.245503935862843292e+01,-3.390811913773551289e+00,3.761869323971269807e+01
3.222311988647071246e+01,-3.426989509447841531e+00,3.764935260848406529e+01
3.243261170228189627e+01,-3.763142358156871037e+00,3.761981587787656878e+01
