gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200009549650359730e+01,1.199999986182431257e+02,-3.806627448351795451e+00,2.201451965654080301e+00,1.945747720786226639e-02,-1.397884448297173510e+00
3.200009273135872689e+01,1.199999732555125718e+02,4.454902089236256302e+00,2.278883308156820497e+00,1.252982656155927216e-02,-1.410229294401145195e+00
3.200004882951791529e+01,1.200001124143460203e+02,1.072608143333958353e+01,2.441465686970961002e+00,-4.769151220230508081e-02,-1.477305805022709473e+00
3.200004294562540963e+01,1.199999577821401715e+02,1.112521489022335963e+01,2.390339167535832310e+00,-8.209094569735699010e-02,-1.488087253787715891e+00
3.200002912570334246e+01,1.199999681751585285e+02,3.469717538864415918e+00,2.556625423647077788e+00,2.269781714330627864e-02,-1.665952277826128647e+00
3.200002939726557116e+01,1.200000183551692459e+02,8.275111209637692866e+00,2.556067920397641302e+00,2.154978553634258331e-02,-1.774888636611835935e+00
3.200008765592312443e+01,1.199999848982897390e+02,-1.070600599489613103e+01,2.664998882363918575e+00,6.540892290045992319e-02,-1.809636990343334917e+00
3.200014546058727660e+01,1.199998639678312173e+02,1.063035281724092229e+01,2.714158279682251429e+00,4.834777752433607606e-02,-1.937323674685216046e+00
3.200020939578609358e+01,1.200000274290668756e+02,-1.642974870331110004e+00,2.752144796575890506e+00,-3.641113290206084846e-02,-1.967351111699880084e+00
3.200002656875808782e+01,1.200001129121402812e+02,8.697811737471221605e+00,2.799220997503963471e+00,-5.293662913843534545e-02,-2.073327660928736993e+00
3.200003959520843466e+01,1.200000182035448688e+02,4.740572831557190447e+00,2.959197928422838242e+00,-2.437326756123552388e-02,-2.136345977151143050e+00
3.200001316425019127e+01,1.199998635688176307e+02,4.078034829313658349e+00,2.918912273538544877e+00,6.740133373148594897e-02,-2.212806744945007953e+00
3.200003379729434982e+01,1.199999692980785255e+02,3.806213700573244374e+00,3.088298767901489938e+00,-9.256274863320921795e-03,-2.323375296431100079e+00
3.200008233884069853e+01,1.200000709417999900e+02,-2.050424562512365156e-01,3.126625158709532393e+00,-1.156030936290572061e-02,-2.428876340010839296e+00
3.200001256022999740e+01,1.200000158032787567e+02,-2.408544135181590828e+00,3.168516970171465719e+00,3.432010495300329839e-02,-2.410888531910404531e+00
3.200008239270433563e+01,1.199999884568347994e+02,2.569488278569622697e+00,3.200277836894594330e+00,-1.754572812554094571e-02,-2.539689402979990351e+00
3.200001753105294000e+01,1.200000239219491789e+02,-2.662708382604793478e+00,3.214948355094464638e+00,-1.388334992141050661e-01,-2.645041560802857017e+00
3.200000483534600448e+01,1.199999105879073369e+02,3.335284299748080272e-01,3.345757367244447167e+00,1.017510964733756539e-02,-2.677804804852772946e+00
3.200005483539868578e+01,1.199999058072435218e+02,-2.936235200001369172e+00,3.451662140046001692e+00,7.157635532443471123e-03,-2.779424106120568450e+00
3.200006781861982574e+01,1.199999824338761272e+02,6.912070004838914095e+00,3.433401554264462696e+00,1.419231141818509158e-03,-2.878626135507267758e+00
3.200014209714864677e+01,1.199998675847582348e+02,5.711920229219770384e+00,3.581784566788850377e+00,-1.478049946991466246e-01,-2.970118997960947027e+00
3.200004031714807695e+01,1.199999685415290429e+02,1.788443212085780942e+01,3.593371547983134295e+00,5.031237854489030437e-02,-2.944507095084127890e+00
3.200010142021393023e+01,1.199999715781267753e+02,6.360359419080614529e+00,3.682578732065272309e+00,-2.498193431666596853e-02,-3.103550710548502067e+00
3.200000483043211830e+01,1.200000302481106189e+02,-3.979790529207078542e+00,3.682042040772076863e+00,-4.468216461138051904e-02,-3.236250553354622195e+00
3.200007881536117083e+01,1.199999590296660301e+02,1.263805270121046398e+01,3.777163655890646066e+00,-4.857182160066977894e-02,-3.337095924463852281e+00
3.200009501105956389e+01,1.200000556105673155e+02,9.520734293107604884e+00,3.766343703310521374e+00,-1.532773313889952520e-02,-3.380976547317141367e+00
3.200010862534818301e+01,1.199999483921014729e+02,1.389334117222019671e+01,3.870740826293546100e+00,-8.196341021574427010e-02,-3.484732274760459880e+00
3.200001226209294458e+01,1.199999954470594474e+02,4.448147030631346865e+00,4.001596216187067512e+00,-5.332719489940231095e-02,-3.521073680066157507e+00
3.200003807994337990e+01,1.199999577911316067e+02,2.204037281084905686e+01,4.020771676554234730e+00,-4.488533726964496345e-02,-3.610624127113436721e+00
3.200008716235934969e+01,1.200000391138391223e+02,2.173177237475104384e+00,4.047978505712701569e+00,-4.102606869635169740e-02,-3.649692124289416473e+00
3.200012900712466291e+01,1.199999165359931652e+02,1.348122403918872791e+01,4.165508620347382340e+00,6.309090149065382791e-02,-3.715198212126603838e+00
3.200009118363848870e+01,1.200000037827371813e+02,1.224607298783675091e+01,4.184087027393971425e+00,2.536771000495818829e-02,-3.793883127349479079e+00
3.200011301425269750e+01,1.199999895517051982e+02,4.041018748635825553e+00,4.232124775215651447e+00,-2.572737485246655298e-02,-3.921845913108401138e+00
